"","13. Outras politicas de lideranca","7. Processo de concessao de pol. trab flexivel","12. Politicas de lideranca","5. Outras politicas de jornada flexivel","9. Politicas contra disccriminacao de genero","2. Controladora","11. Subestimacao e Preconceito","6. Como e a quem praticas de jornada flexivel","3. Medidas de conc. trab-familia-pessoal","1. IP","8. Monitoramento de politicas de trab  flexivel","10. Outras politicas contra discriminacao de genero","4. Politicas de jornada flexivel"
"67","","O processo é feito conforme convenção coletiva da categoria.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato)","Ale Combustíveis","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres","A empresa concede políticas de jornada de trabalho flexível apenas para mulheres que voltaram de licença-maternidade; A empresa não possui políticas de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa analisa caso a caso as demandas dos/as colaboradores/as","200.202.232.243","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa não possui política de trabalho flexível"
"68","","Apenas para mulheres que voltaram de licença maternidade","A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres","","A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual","Saudalys Franchising ","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de jornada de trabalho flexível apenas para mulheres que voltaram de licença-maternidade","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","177.79.5.207","A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","","A empresa não possui política de trabalho flexível"
"69","","Todos os empregados de cargos administrativos alocados no escritório central possuem jornada de trabalho flexível. A única diferenciação é que determinados níveis hierárquicos possuem controle de jornada e banco de horas, porém todos são elegíveis à jornada flexível.","A empresa oferece programa/ações de incentivo à liderança feminina apenas a cargos específicos ou à potenciais lideranças femininas que tenham sido identificadas; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres","Flexihabilidade: flex time, flex, place e flex office","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","PepsiCo","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.32.29.129","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa.; A empresa possui outras políticas de jornada de trabalho flexível"
"70","","a Promon inova no modelo de trabalho alinhado à estratégia quanto à competitividade, inovação, mobilidade e sustentabilidade, além de privilegiar o bem estar e a qualidade de vida dos profissionais. O programa está funcionando para 100% da empresa, trabalharam uma vez por semana a partir de suas casas. Vários desses profissionais, em seu dia de trabalho remoto, chegaram a economizar até 4 horas no deslocamento entre residênciaempresaresidência, o que lhes permitiu dedicar esse tempo à família e ao\n lazer.","A empresa promove networking entre as colaboradoras da empresa","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","Promon","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as","179.191.100.2","A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"71","","NT","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas","","A empresa não possui política contra discriminação de gênero, assédio moral ou assédio sexual contra colaboradoras","NT","A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade","A empresa não possui políticas de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa analisa caso a caso as demandas dos/as colaboradores/as","200.201.179.206","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível; Flextime: permite variação de horário na chegada e na saída do trabalho; A empresa não possui política de trabalho flexível"
"72","Política de Diversidade e Igualdade.","Sim existe uma avaliação da atividade dos funcionários, onde verifica-se se a atividade técnica do funcionários é passível de home office ou não. O requisito para esta concessão é apenas a atividade rotineira de trabalho.","A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres; A empresa possui outras ações nesse sentido","Home office e flextime para funcionários administrativos e Banco de Horas.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual; A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","Atento","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento facultativo sobre bias (viéses) e preconceitos de gênero; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de jornada de trabalho flexível apenas para mulheres que voltaram de licença-maternidade; A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos; A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","189.125.203.3","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time; A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível; A empresa possui outra prática ou política de monitoramento de políticas de trabalho flexível","Política de Diversidade e Igualdade. Relatório mensal da ouvidoria.\n Procedimento Ouvidoria.\n Comitê de Ética\n WS Ética.","Flextime: permite variação de horário na chegada e na saída do trabalho; A empresa possui outras políticas de jornada de trabalho flexível"
"73","","Os colaboradores devem ter ao menos 01 ano de companhia, comprovarem as demandas específicas e atingirem os resultados de suas avaliações anuais.","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove networking entre as colaboradoras da empresa","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","GENERAL MOTORS","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa não tem políticas ou práticas e trata das questões atinentes ao tema à medida que surgem necessidades","A empresa possui outros critérios para concessão de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras","198.208.24.100","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa possui processos de obtenção de feedback sobre as políticas de trabalho flexível","Código de conduta da companhia.","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"74","","A empresa não tem uma política específica disso. Casos esporádicos de participações em eventos ou algo do gênero, vemos a possibilidade do colaborador participar (caso ele possa), e depois essas horas excedidas são dadas em folgas quando o colaborador desejar abonar, em um acordo que a empresa tente dar a folga quando ele necessita.","A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; A empresa oferece treinamento de desenvolvimento de habilidades de liderança específico para mulheres; As práticas ou o programa de incentivo à liderança feminina são explicitamente alinhados ao planejamento de sucessão da empresa","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato)","Arenales Homeopatianimal","A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui treinamento facultativo de diversidade","A empresa não possui políticas de jornada de trabalho flexível","A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa analisa caso a caso as demandas dos/as colaboradores/as","170.84.219.210","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa não possui política de trabalho flexível"
"75","","De acordo com a necessidade da área de negócio","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender; A empresa promove networking entre as colaboradoras da empresa; As redes de networking feminino da empresa são formalmente estabelecidas; A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as","MetLife ","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa possui treinamento facultativo de diversidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","200.245.241.130","A empresa não possui política de monitoramento de políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"76","","Empresa não possui políticas de jornada de trabalho flexível.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual","Rede Ímpar","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa não tem políticas ou práticas e trata das questões atinentes ao tema à medida que surgem necessidades","A empresa não possui políticas de jornada de trabalho flexível","A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa não possui medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","177.66.154.66","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa não possui política de trabalho flexível"
"77","","A empresa é bastante flexível em questões familiares e não exige, por exemplo, atestados médicos para pais e mães que justificam faltas para cuidar de filhos pequenos.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","Cargos de gestão, como coordenadores e gerentes não tem controle de horário e ajustam a jornada de acordo com a demanda de modo a compensar picos de trabalho.","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual","BELAGRÍCOLA","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero","A empresa concede políticas de jornada de trabalho flexível apenas para cargos específicos","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","201.54.80.217","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as","","A empresa adota informalmente práticas de jornada trabalho flexível; Flextime: permite variação de horário na chegada e na saída do trabalho; A empresa possui outras políticas de jornada de trabalho flexível"
"78","","Não possuímos modelo de jornada flexível. Temos um grande time de Consultores (Operações, Treinamento, Recursos Humanos, Manutenção e Segurança) que trabalham remotamente todos os dias, atendendo e visitando nossos restaurantes. Essa prática é acompanhada de modelos de planejamento de trabalho instituídos na organização.","A empresa possui práticas não formalizadas de incentivo à liderança feminina; A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove networking entre as colaboradoras da empresa; As práticas ou o programa de incentivo à liderança feminina são explicitamente alinhados ao planejamento de sucessão da empresa","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual; A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","Arcos Dourados Comércio de Alimentos Ltda","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero","A empresa não possui políticas de jornada de trabalho flexível","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa compensa as horas extras de todos/as os/as colaboradores/as, incluindo gerentes e executivos/as, de forma regular e registrada (banco de horas); A empresa realiza o pagamento de todas as horas extras mas não as evita; A empresa comunica a necessidade de realização de horas extras com antecedência e respeita a disponibilidade de seus/as colaboradores/as; A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima; A empresa analisa caso a caso as demandas dos/as colaboradores/as; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","54.207.98.206","A empresa monitora a qualidade do relacionamento de colaboradores/as que utilizam políticas de trabalho flexível com seus/suas superiores imediatos/as; A empresa monitora, em equipes que possuem colaboradores/as que utilizam políticas de trabalho flexível, questões de comunicação, quantidade de trabalho, distribuição do trabalho, coordenação e comunicação dentre os membros do time","Possuímos um código de Normas e Condutas que prevê uma serie de regras para o combate a discriminação de gênero, assedio moral e sexual. Divulgada amplamente e periodicamente entre os nossos funcionários.","A empresa não possui política de trabalho flexível"
"79","","Trabalho em home office pode ser realizado por todos os colegas, exceto em cargos nos quais é necessári a presença no escritório  (exemplo: produção)","A empresa oferece programa/ações de incentivo à liderança feminina à todas as suas colaboradoras; A empresa promove ações de intercâmbio de experiências entre mulheres em altos cargos de liderança e outras em posições hierarquicamente menos elevadas, com o objetivo de expor as atitudes, competências e habilidades que as líderes desenvolveram para ascender","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento; A empresa garante sigilo e que não haverá represálias àqueles que apresentarem reclamações ou denúncias veiculadas pelo canal de relacionamento ou órgão específico para avaliar denúncias sobre discriminação de gênero e/ou assédio sexual; A empresa aborda em seus treinamentos quais tipos de condutas podem ser consideradas assédio moral e sexual, bem como discriminação de gênero, exemplificando-as; A empresa inclui e avalia a questão da discriminação de gênero e do assédio sexual dentro de seus procedimentos de gestão de riscos estratégicos e reputacionais; A empresa possui métricas para avaliar o sucesso de seus programas contra a discriminação de gênero e o assédio sexual","Pfizer","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero; A empresa realiza campanhas internas de conscientização (seminários e fóruns, entre outros) para aumentar a compreensão de seus/suas colaboradores/as sobre a importância de valorização da mulher; A empresa usa as informações de seu censo interno para subsidiar o planejamento de ações afirmativas com foco na valorização das colaboradoras mulheres; A empresa estimula a criação de grupos de afinidade internos para reduzir preconceitos, desconstruir estereótipos e combater a discriminação com base em gênero; A empresa possui programa de conscientização todos os seus níveis hierárquicos a fim de envolvê-los e gerar compreensão e comprometimento em relação a equidade de gênero e diversidade; A empresa possui treinamento facultativo de diversidade; A empresa possui programa de treinamento facultativo sobre bias (viéses) e preconceitos de gênero; A empresa possui outras políticas ou práticas para combater a cultura do preconceito contra a mulher e a subestimação de sua capacidade","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui políticas estabelecidas e divulgadas para a realização de horas extras; A empresa mantém programas de respeito e limites com relação ao trabalho remoto fora do horário de trabalho; A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","148.168.40.122","A empresa não possui política de monitoramento de políticas de trabalho flexível","","Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"80","","Não, todos são elegíveis.","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","","A empresa possui canal de relacionamento que possibilita a realização de denúncias e reclamações, como ouvidoria (preferencialmente com a proteção do anonimato); A empresa possui um processo de acompanhamento ou sindicância, acompanhada de mecanismo de feedback, para as reclamações ou denúncias veiculadas pelo canal de ouvidoria ou relacionamento","MULTIPLUS","A empresa não tem políticas ou práticas e trata das questões atinentes ao tema à medida que surgem necessidades","A empresa concede políticas de trabalho flexível para todos seus/suas colaboradores/as, independentemente da comprovação de demandas específicas","A empresa possui outras medidas de conciliação entre trabalho, família e vida pessoal quanto à jornada de trabalho de seus/as colaboradores/as","179.191.91.132","A empresa não possui política de monitoramento de políticas de trabalho flexível","","A empresa adota informalmente práticas de jornada trabalho flexível; Flextime: permite variação de horário na chegada e na saída do trabalho; Teletrabalho: trabalho realizado de outro lugar que não as instalações da empresa, normalmente de casa."
"81","","NT","A empresa não desenvolve ações relativas a programas de incentivo à liderança feminina.","","A empresa possui outras políticas contra a discriminação de gênero, assédio moral ou assédio sexual","UNIMED-RIO","A empresa possui política ou menção em código de conduta ou documento equivalente que proíba o constrangimento ou discriminação de colaboradores/as em razão do seu gênero","A empresa não possui políticas de jornada de trabalho flexível","A empresa evita horas extras, mas não as controla em cargos de gerência intermediária para cima","177.192.77.124","A empresa não possui política de monitoramento de políticas de trabalho flexível","A empresa possui o código de conduta e uma Unidade de Relacionamento com o Colaborador, para tratamento de questões relacionadas ao Clima Organizacional.","A empresa não possui política de trabalho flexível"
